取引日時，商品コード，商品名，数量，金額，店舗コード
2024-01-05 10:30，P001，エコバッグ，15，7500，S001
2024-01-05 14:20，P002，水筒，8，12000，S001
2024-01-06 09:15，P001，エコバッグ，12，6000，S002
2024-01-10 11:00，P003，箸セット，50，5000，S001
2024-01-15 16:45，P002，水筒，6，9000，S002
2024-01-20 10:00，P004，コピー用紙，20，24000，S001
2024-01-25 14:30，P005，プラスチック容器，30，105000，S002
2024-02-01 09:00，P001，エコバッグ，18，9000，S001
2024-02-05 11:30，P002，水筒，10，15000，S002
2024-02-10 15:00，P003，箸セット，40，4000，S001
2024-02-15 10:30，P004，コピー用紙，25，30000，S002
2024-02-20 14:00，P005，プラスチック容器，35，122500，S001
2024-03-01 09:30，P001，エコバッグ，20，10000，S001
2024-03-05 13:00，P002，水筒，12，18000，S002
2024-03-10 16:00，P003，箸セット，45，4500，S001
2024-03-15 10:00，P004，コピー用紙，30，36000，S002
2024-03-20 14:30，P005，プラスチック容器，40，140000，S001
